a1,a2,a3,alpha,gmax,gmin,num_pop,gbest_per_gen,replication,seed,time
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",34.616,0,1111,95.45739269256592
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",34.616,0,1111,95.32447004318237
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",23.35,0,1111,95.10123419761658
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",23.35,0,1111,94.69027709960938
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,1,2222,96.4274799823761
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",23.35,1,2222,99.18779754638672
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",23.35,1,2222,97.44782018661499
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",23.35,1,2222,95.84891891479492
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,2,3333,95.53216648101807
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",23.35,2,3333,96.18791604042053
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",33.234,2,3333,97.20632743835449
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",33.234,2,3333,97.54196691513062
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,3,4444,95.85267758369446
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",32.716,3,4444,95.2737603187561
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",32.716,3,4444,96.93463063240051
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",23.35,3,4444,97.71068525314331
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",24.15,4,5555,96.40411901473999
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",35.634,4,5555,97.32409882545471
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",32.416,4,5555,98.57259273529053
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",36.783,4,5555,99.37706470489502
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,5,6666,96.98835110664368
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",23.35,5,6666,95.96897435188293
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",23.35,5,6666,94.89490151405334
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",23.35,5,6666,94.97074055671692
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",33.234,6,7777,96.25427079200745
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",23.35,6,7777,95.52217054367065
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",29.85,6,7777,97.55972647666931
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",32.834,6,7777,95.65644240379333
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,7,8888,96.0016098022461
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",23.35,7,8888,95.53982973098755
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",24.15,7,8888,95.54035186767578
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",23.35,7,8888,95.72610020637512
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,8,9999,95.77840948104858
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",23.35,8,9999,95.72468733787537
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",36.516,8,9999,96.2249186038971
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",25.25,8,9999,95.8979344367981
0.5,1.5,1,0.5,0.7,0.3,"(100, 50)",23.35,9,11110,95.47017121315002
0.5,1.5,1,0.5,0.7,0.5,"(100, 50)",40.067,9,11110,95.52148389816284
0.5,1.5,1,0.5,0.9,0.3,"(100, 50)",23.35,9,11110,95.76742243766785
0.5,1.5,1,0.5,0.9,0.5,"(100, 50)",23.35,9,11110,95.32603478431702
